country,year,co2_per_capita_tco2e_excl_lulucf,co2_total_mtco2e_excl_lulucf,energy_use_kg_oe_per_capita,gdp_current_usd,population_total,renewable_electricity_pct,renewable_energy_consumption_pct,urban_pop_pct,missing_indicator_count
LAO,2012,0.511690636170271,3.3357,430.517609314187,10192846339.4029,6518978.0,97.7952056368232,62.4,31.264,0
LAO,2013,0.596576965340848,3.9442,446.093067662227,11983252626.5452,6611385.0,97.92591675015304,58.6,31.872,0
LAO,2014,0.654511028510084,4.3873,458.192519798491,13279245886.3854,6703172.0,98.05662786348286,58.2,32.487,0
LAO,2015,1.31253542341595,8.9274,602.339548780014,14426380125.6488,6801645.0,98.1873389768127,53.3,33.108,0
LAO,2016,2.29720000660028,15.8709,754.130255846522,15912501722.6143,6908802.0,68.5940165946009,51.7,33.736,0
LAO,2017,2.74204857777986,19.2441,811.84123029479,17071155481.4994,7018147.0,62.8753622255136,50.6,34.368,0
LAO,2018,2.78647230762432,19.8621,805.88201068311,18141641089.7963,7128045.0,61.7315527914209,50.2,35.004,0
LAO,2019,2.67627440783151,19.3699,782.690308446395,18740561512.5555,7237636.0,86.4462090163934,50.5,35.645,0
LAO,2020,2.645846687138,19.4378,701.728790627854,18981805250.2424,7346533.0,66.091823458767,50.6,36.29,0
LAO,2021,3.19548907488521,23.8166,727.414717441626,18827148530.9347,7453194.0,63.2911054213514,51.5,36.939,0
LAO,2022,3.24790015408108,24.5509,815.086540442856,15468785203.7532,7559007.0,63.2911054213514,49.2,37.592,0
LAO,2023,3.39475848184075,26.0208,815.086540442856,15843155731.2552,7664993.0,63.2911054213514,49.2,38.247,0
LAO,2024,3.39475848184075,26.0208,815.086540442856,16502933121.0806,7769819.0,63.2911054213514,49.2,38.906,0
MMR,1990,0.111318583997675,4.4324,268.258896243736,2115193513.29556,39817251.0,48.1436642453592,90.9,25.243,0
MMR,1991,0.1062331940409,4.2912,260.02138434569,2069832686.98061,40394154.0,46.3205080313784,91.1,25.418,0
MMR,1992,0.111097973247696,4.5495,264.448318123966,2411552288.76212,40950342.0,50.6675567423231,90.8,25.593,0
MMR,1993,0.122575958144522,5.0872,258.836824497865,3163020034.63637,41502429.0,50.3692762186115,89.2,25.769,0
MMR,1994,0.145045280193198,6.0999,271.528610628702,4432257173.6492,42055143.0,44.9081803005008,88.0,25.946,0
MMR,1995,0.173682462042667,7.3998,277.216010328342,5289174942.53404,42605338.0,40.0493218249075,85.2,26.124,0
MMR,1996,0.180313410818619,7.7814,274.207933639514,6123556716.81329,43154860.0,41.850443599493,84.6,26.303,0
MMR,1997,0.177229765046387,7.7465,276.421864771514,4722288495.66085,43708798.0,37.9302587176603,85.2,26.482,0
MMR,1998,0.190364214501161,8.4251,280.397802593636,6459461639.30243,44257793.0,22.9282435370863,83.4,26.663,0
MMR,1999,0.206402540124611,9.2443,278.009100440927,8486832800.88498,44787724.0,22.3755119637853,81.9,26.843,0
MMR,2000,0.221709285548484,10.0414,283.525751035703,8905066163.58643,45290841.0,39.325517780383,80.2,27.025,0
MMR,2001,0.191692848194143,8.774,274.124811979368,6477790688.22844,45771139.0,45.9174664107486,82.5,27.208,0
MMR,2002,0.191284718183921,8.8436,280.52424238022,6777632512.0781,46232653.0,44.2444751381215,83.0,27.391,0
MMR,2003,0.234800928240979,10.9575,301.406139026565,10467109977.6717,46667192.0,40.8412903225806,79.9,27.575,0
MMR,2004,0.22583975634631,10.63,314.736266036282,10567354056.4049,47068772.0,45.576573364236,80.2,27.76,0
MMR,2005,0.236951674030081,11.2406,312.774547278866,11986972418.5103,47438365.0,52.3452460106383,79.6,27.946,0
MMR,2006,0.218722830855244,10.4517,314.353500872765,14502553709.8303,47785135.0,56.655418559377,81.3,28.132,0
MMR,2007,0.226840316797223,10.9167,323.443459380433,20182477480.5512,48125043.0,59.6847944991405,80.5,28.319,0
MMR,2008,0.172648544941183,8.3546,309.294197701747,31862554101.9378,48390793.0,64.5312594382362,85.6,28.507,0
MMR,2009,0.159971775029907,7.7843,290.572484432835,36906181380.8127,48660459.0,78.3324238943136,85.8,28.695,0
MMR,2010,0.176010377856472,8.6288,278.483453812986,49540813342.4834,49024382.0,73.9860869565217,84.6,28.885,0
MMR,2011,0.185609741192906,9.1728,279.998295569373,59977326085.9908,49419820.0,74.286015729906,83.8,29.075,0
MMR,2012,0.25196515888876,12.5573,303.854962936024,59937796648.2158,49837446.0,72.6501003100493,78.1,29.266,0
